caseid	ideol7b	presvote	retecon	white	female	age	educ1_7	income	partyid	bushiraq	exptrnout2
955.0	4.0	0	-1.0	1.0	1	67.0	4.0	8.0	3.0	0.0	1
959.0	6.0	0	-1.0	0.0	1	38.0	5.0	17.0	0.0	0.0	1
973.0	2.0	0	0.0	1.0	0	20.0	4.0	3.0	1.0	0.33333334	1
976.0	3.0	0	-0.5	1.0	1	44.0	3.0	18.0	0.0	0.0	1
979.0	5.0	1	0.0	1.0	0	52.0	6.0	23.0	6.0	1.0	1
981.0	3.0	0	-0.5	1.0	0	40.0	7.0	21.0	2.0	0.0	1
985.0	4.0	0	-0.5	1.0	1	57.0	4.0	21.0	2.0	0.33333334	1
986.0	4.0	0	-0.5	1.0	0	52.0	4.0	20.0	0.0	0.0	1
987.0	4.0	1	-0.5	1.0	1	44.0	4.0	20.0	4.0	0.6666667	1
989.0	6.0	1	0.5	1.0	0	37.0	3.0	21.0	4.0	1.0	1
996.0	2.0	1	0.0	1.0	0	77.0	4.0	23.0	6.0	1.0	1
999.0	4.0	0	0.0	1.0	0	80.0	2.0	9.0	1.0	0.0	1
1002.0	4.0	1	0.0	0.0	1	57.0	3.0	16.0	3.0	0.33333334	1
